Tempo (s),Posicao X,Posicao Y
22.28893333333334,206,588
22.30561666666667,209,588
22.322300000000002,211,588
22.338983333333335,214,588
22.355666666666668,218,589
22.37235,221,589
22.389033333333334,224,590
22.405716666666667,228,590
22.422400000000003,232,591
22.439083333333336,236,590
22.45576666666667,240,591
22.472450000000002,228,592
22.489133333333335,233,593
22.505816666666668,255,591
22.5225,242,593
22.539183333333334,247,593
22.555866666666667,252,593
22.57255,257,593
22.589233333333336,262,593
22.60591666666667,267,593
22.622600000000002,271,593
22.639283333333335,276,593
22.655966666666668,281,592
22.67265,285,592
22.689333333333334,290,592
22.706016666666667,294,591
22.7227,299,591
22.739383333333336,302,591
22.75606666666667,306,590
22.772750000000002,309,590
22.789433333333335,313,590
22.806116666666668,316,589
22.8228,319,589
22.839483333333334,321,588
22.856166666666667,323,588
22.87285,325,588
22.889533333333336,327,588
22.90621666666667,327,587
22.922900000000002,328,588
22.939583333333335,328,587
22.956266666666668,328,588
22.97295,328,587
22.989633333333334,328,588
23.006316666666667,327,588
23.023,326,588
23.039683333333336,324,588
23.05636666666667,322,588
23.073050000000002,319,589
23.089733333333335,317,589
23.106416666666668,314,589
23.1231,311,590
23.139783333333334,307,590
23.156466666666667,304,591
23.17315,299,590
23.189833333333336,296,591
23.20651666666667,292,592
23.223200000000002,287,592
23.239883333333335,283,592
23.256566666666668,278,593
23.27325,273,593
23.289933333333334,268,593
23.306616666666663,263,593
23.3233,258,594
23.339983333333336,253,594
23.35666666666667,248,594
23.373350000000002,243,594
23.390033333333335,238,594
23.406716666666668,233,594
23.4234,229,593
23.440083333333334,224,593
23.456766666666667,220,593
23.47345,216,593
23.490133333333336,211,593
23.50681666666667,207,592
23.523500000000002,204,592
23.540183333333335,200,592
23.556866666666668,197,592
23.57355,194,592
23.590233333333334,192,592
23.606916666666667,189,591
23.6236,187,591
23.640283333333336,185,591
23.65696666666667,183,591
23.673650000000002,182,591
23.690333333333335,181,591
23.707016666666668,181,590
23.7237,180,591
23.740383333333334,180,591
23.757066666666667,180,591
23.77375,181,591
23.790433333333336,181,592
23.80711666666667,183,592
23.823800000000002,184,592
23.840483333333335,186,593
23.857166666666668,189,593
23.87385,191,593
23.890533333333334,194,593
23.907216666666667,197,593
23.9239,200,594
23.940583333333336,203,594
23.95726666666667,207,594
23.973950000000002,211,595
